min_samples,max_depth,min_info_gain,n_tree,avg_f1,avg_acc
2,10,0.01,20,0.9366254833412787,0.9016959064327486
2,10,0.05,20,0.9366254833412787,0.9016959064327486
2,10,0.1,20,0.9373624032314243,0.9039181286549708
2,15,0.01,20,0.9250893850309868,0.8867251461988305
2,15,0.05,20,0.9250893850309868,0.8867251461988305
2,15,0.1,20,0.923873449656264,0.8822514619883041
2,30,0.01,20,0.9250893850309868,0.8867251461988305
2,30,0.05,20,0.9250893850309868,0.8867251461988305
2,30,0.1,20,0.923873449656264,0.8822514619883041
5,10,0.01,20,0.9371343426585362,0.9039181286549708
5,10,0.05,20,0.9371343426585362,0.9039181286549708
5,10,0.1,20,0.9358968445244864,0.9025438596491229
5,15,0.01,20,0.9312587093107115,0.8972807017543859
5,15,0.05,20,0.9312587093107115,0.8972807017543859
5,15,0.1,20,0.9358968445244864,0.9025438596491229
5,30,0.01,20,0.9312587093107115,0.8972807017543859
5,30,0.05,20,0.9312587093107115,0.8972807017543859
5,30,0.1,20,0.9358968445244864,0.9025438596491229
10,10,0.01,20,0.9380553549157554,0.9033625730994153
10,10,0.05,20,0.9380553549157554,0.9033625730994153
10,10,0.1,20,0.9571165051114996,0.9328070175438598
10,15,0.01,20,0.9368041651217401,0.9039181286549708
10,15,0.05,20,0.9368041651217401,0.9039181286549708
10,15,0.1,20,0.9571165051114996,0.9328070175438598
10,30,0.01,20,0.9368041651217401,0.9039181286549708
10,30,0.05,20,0.9368041651217401,0.9039181286549708
10,30,0.1,20,0.9571165051114996,0.9328070175438598
